"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1"
"s","%RH","lx","kPa","dBA","°C"
"0","36.9","335","99.00","40.1","34.2"
"1","36.9","439","98.97","48.6","34.2"
"2","36.9","451","98.98","65.1","34.2"
"3","36.9","452","98.98","69.2","34.2"
"4","36.9","453","98.98","68.4","34.2"
"5","36.9","442","98.96","40.3","34.2"
"6","36.9","450","98.99","42.9","34.2"
"7","36.9","452","98.97","63.0","34.2"
"8","36.9","452","98.95","40.0","34.2"
"9","36.9","452","98.95","54.2","34.2"
"10","36.9","452","98.94","49.5","34.2"
"11","36.9","452","98.97","41.0","34.2"
"12","36.9","451","98.96","40.2","34.2"
"13","36.8","443","99.00","40.0","34.2"
"14","36.8","442","99.00","40.0","34.2"
"15","36.8","443","99.00","40.0","34.2"
"16","36.8","443","98.98","40.0","34.2"
"17","36.8","443","98.95","46.4","34.2"
"18","36.8","441","98.99","47.8","34.2"
"19","36.8","449","98.98","54.9","34.2"
"20","36.7","451","98.98","62.7","34.2"
"21","36.7","451","98.97","42.1","34.2"
"22","36.7","451","98.95","48.4","34.2"
"23","36.7","444","98.98","75.5","34.2"
"24","36.7","438","98.98","70.3","34.2"
"25","36.7","450","98.98","42.5","34.2"
"26","36.6","428","98.98","76.2","34.2"
"27","36.6","412","98.97","73.2","34.2"
"28","36.6","396","98.99","73.4","34.2"
"29","36.6","393","98.98","69.8","34.2"
"30","36.6","413","98.97","69.4","34.2"
"31","36.6","411","98.98","68.8","34.2"
"32","36.6","413","98.93","73.3","34.2"
"33","36.6","437","99.00","45.4","34.2"
"34","36.6","408","98.96","85.6","34.2"
"35","36.6","424","98.97","76.7","34.2"
"36","36.5","424","98.97","44.7","34.2"
"37","36.6","447","98.96","41.9","34.2"
"38","36.5","428","98.96","75.7","34.2"
"39","36.5","388","98.97","76.2","34.2"
"40","36.5","380","98.97","64.7","34.2"
"41","36.6","375","98.98","67.7","34.2"
"42","36.6","438","98.96","45.8","34.2"
"43","36.6","449","99.00","46.8","34.2"
"44","36.6","450","98.99","45.9","34.2"
"45","36.5","443","98.98","79.1","34.2"
"46","36.5","85","98.98","53.8","34.2"
"47","36.5","18","98.98","40.7","34.2"
"48","36.5","9","98.98","61.0","34.2"
"49","36.5","7","98.98","53.7","34.2"
"50","36.5","6","99.00","57.1","34.2"
"51","36.5","6","98.98","75.1","34.2"
"52","36.6","6","98.99","66.1","34.2"
"53","36.6","7","98.95","64.6","34.2"
"54","36.6","6","98.96","47.8","34.2"
"55","36.6","6","98.97","46.3","34.2"
"56","36.6","6","98.99","76.6","34.2"
"57","36.6","5","98.97","60.4","34.2"
"58","36.6","5","98.98","62.3","34.2"
"59","36.7","376","98.99","40.6","34.2"
"60","36.7","438","98.98","88.6","34.2"
"61","36.7","446","98.97","78.5","34.2"
"62","36.7","448","98.98","78.3","34.2"
"63","36.8","448","99.01","41.5","34.2"
"64","36.8","201","98.99","52.7","34.2"
"65","36.8","352","98.96","70.5","34.2"
"66","36.8","448","98.95","73.9","34.2"
"67","36.8","458","98.98","77.4","34.2"
"68","36.8","460","98.97","65.8","34.2"
"69","36.8","460","98.99","44.4","34.2"
"70","36.8","460","98.98","75.9","34.2"
"71","36.8","460","98.96","83.1","34.2"
"72","36.8","460","98.96","70.1","34.2"
"73","36.8","459","99.00","67.6","34.2"
"74","36.8","459","98.99","61.2","34.2"
"75","36.8","459","98.99","60.5","34.2"
"76","36.8","459","98.98","52.8","34.2"
"77","36.8","459","98.97","71.4","34.2"
"78","36.8","459","98.98","53.6","34.2"
"79","36.8","459","98.95","76.1","34.1"
"80","36.8","460","98.97","56.6","34.1"
"81","36.8","459","98.97","44.7","34.0"
"82","36.8","459","98.96","54.5","33.9"
"83","36.8","459","98.95","65.8","33.8"
"84","36.8","446","99.00","45.8","33.7"
"85","36.8","441","98.98","40.0","33.6"
"86","36.8","440","98.98","40.0","33.4"
"87","36.8","442","98.97","65.1","33.3"
"88","36.8","444","98.98","40.0","33.2"
"89","36.8","456","98.98","76.5","33.1"
"90","36.8","458","99.00","64.4","33.1"
"91","36.8","458","98.97","75.6","33.0"
"92","36.8","458","98.99","68.6","32.9"
"93","36.8","458","98.97","45.5","32.8"
"94","36.8","458","98.98","60.9","32.8"
"95","36.8","457","98.97","40.0","32.7"
"96","36.8","458","98.99","70.6","32.7"
"97","36.8","458","98.99","44.0","32.6"
"98","36.7","458","99.01","61.2","32.5"
"99","36.7","458","98.97","72.4","32.5"
"100","36.7","459","98.95","47.9","32.5"
"101","36.7","459","98.95","72.8","32.5"
"102","36.7","460","98.96","44.2","32.5"
"103","36.7","460","98.97","45.7","32.5"
"104","36.7","460","98.96","40.0","32.6"
"105","36.7","460","98.95","40.0","32.6"
"106","36.7","460","98.97","44.2","32.7"
"107","36.7","459","98.97","43.1","32.7"
"108","36.7","459","98.95","40.0","32.8"
"109","36.7","459","98.96","40.0","32.8"
"110","36.7","459","98.97","40.0","32.9"
"111","36.7","459","98.98","40.0","32.9"
"112","36.7","459","98.96","44.3","33.0"
"113","36.7","459","98.97","74.8","33.1"
"114","36.7","459","98.96","73.5","33.1"
"115","36.7","459","98.97","70.6","33.2"
"116","36.7","459","98.99","72.3","33.2"
"117","36.7","459","98.94","40.0","33.3"
"118","36.7","459","98.96","67.1","33.3"
"119","36.7","459","98.97","69.7","33.4"
"120","36.7","459","98.98","51.0","33.4"
"121","36.7","459","98.96","46.7","33.5"
"122","36.7","458","98.95","76.4","33.5"
"123","36.7","458","99.00","67.0","33.6"
"124","36.7","458","98.94","77.6","33.6"
"125","36.7","458","98.95","74.5","33.6"
"126","36.7","458","98.99","40.0","33.7"
"127","36.7","458","98.95","40.1","33.7"
"128","36.7","458","98.97","40.0","33.8"
"129","36.7","458","98.97","68.2","33.8"
"130","36.7","458","98.98","73.1","33.8"
"131","36.7","458","98.98","68.2","33.9"
"132","36.7","457","98.98","72.2","33.9"
"133","36.7","457","98.95","72.1","34.0"
"134","36.7","457","99.01","72.2","34.0"
"135","36.7","457","98.98","48.7","34.0"
"136","36.7","457","99.00","68.1","34.1"
"137","36.7","457","98.97","73.7","34.1"
"138","36.7","457","98.98","60.5","34.1"
"139","36.7","457","98.98","75.8","34.2"
"140","36.7","457","98.97","71.1","34.2"
"141","36.7","457","98.98","54.1","34.2"
"142","36.7","457","98.96","70.5","34.2"
"143","36.7","457","99.00","72.2","34.3"
"144","36.7","457","98.96","52.4","34.3"
"145","36.7","457","98.98","75.6","34.3"
"146","36.7","457","99.00","73.4","34.4"
"147","36.7","457","98.97","77.3","34.4"
"148","36.7","457","98.98","69.7","34.4"
"149","36.7","457","99.01","56.7","34.4"
"150","36.7","457","98.97","45.6","34.5"
"151","36.8","457","98.97","66.0","34.5"
"152","36.8","457","98.95","71.6","34.5"
"153","36.8","456","98.97","66.1","34.5"
"154","36.8","456","98.96","41.5","34.5"
"155","36.8","456","98.97","64.8","34.6"
"156","36.8","456","98.99","42.2","34.6"
"157","36.8","456","98.95","41.4","34.6"
"158","36.8","456","99.00","50.4","34.6"
"159","36.8","456","98.96","79.6","34.7"
"160","36.8","456","98.97","70.7","34.7"
"161","36.8","456","98.96","44.1","34.7"
"162","36.8","456","98.95","40.0","34.7"
"163","36.8","456","99.00","76.2","34.7"
"164","36.8","456","98.94","63.8","34.7"
"165","36.8","456","98.98","49.4","34.7"
"166","36.8","456","98.97","40.0","34.8"
"167","36.8","456","98.98","40.0","34.8"
"168","36.8","456","98.99","64.8","34.8"
"169","36.8","456","98.97","72.1","34.8"
"170","36.8","456","98.97","57.6","34.8"
"171","36.8","456","98.96","76.8","34.8"
"172","36.8","455","98.99","45.7","34.9"
"173","36.8","455","98.98","73.6","34.9"
"174","36.8","455","98.99","67.3","34.9"
"175","36.8","455","98.99","43.0","34.9"
"176","36.8","441","98.98","73.9","34.9"
"177","36.8","298","98.99","69.6","34.9"
"178","36.8","226","98.97","61.4","34.9"
"179","36.8","213","98.97","52.5","34.9"
"180","36.8","202","98.97","67.7","34.9"
"181","36.8","208","98.96","75.5","34.9"
"182","36.8","177","98.96","86.0","34.9"
"183","36.8","197","99.00","88.3","34.9"
"184","36.8","208","98.99","87.2","34.9"
"185","36.9","214","98.96","88.1","34.9"
"186","36.9","237","98.96","86.8","35.0"
"187","36.9","320","98.98","87.4","35.0"
"188","36.9","389","98.98","86.4","35.1"
"189","36.9","423","98.99","89.0","35.1"
"190","36.9","424","98.97","88.7","35.2"
"191","36.9","418","98.96","89.7","35.2"
"192","36.9","419","98.96","89.3","35.3"
"193","37.0","419","98.99","89.7","35.3"
"194","36.9","419","98.98","91.7","35.4"
"195","36.9","419","98.97","90.4","35.4"
"196","36.9","418","98.99","89.1","35.4"
"197","36.9","422","98.97","88.0","35.5"
"198","36.9","424","99.00","87.5","35.5"
"199","36.9","424","98.98","90.0","35.6"
"200","36.9","425","98.95","87.1","35.6"
"201","37.0","454","98.98","89.8","35.6"
"202","36.9","459","98.98","92.2","35.6"
"203","36.9","459","98.99","90.7","35.6"
"204","37.0","457","98.97","90.5","35.7"
"205","36.9","459","98.95","90.3","35.7"
"206","36.9","459","98.99","90.8","35.7"
"207","36.9","460","98.97","93.7","35.7"
"208","36.9","378","98.98","91.8","35.7"
"209","37.0","338","98.97","89.9","35.8"
"210","36.9","437","98.98","92.3","35.8"
"211","36.9","463","98.98","92.8","35.8"
"212","36.9","462","98.96","91.9","35.8"
"213","36.9","464","98.99","92.4","35.8"
"214","36.9","467","98.98","93.2","35.8"
"215","36.9","472","98.95","93.7","35.8"
"216","36.9","459","98.93","91.6","35.8"
"217","36.9","458","98.99","92.1","35.8"
"218","36.9","457","98.96","90.6","35.8"
"219","36.9","456","98.96","88.2","35.8"
"220","36.9","456","98.95","93.0","35.8"
"221","36.9","456","98.96","93.2","35.8"
"222","36.9","457","98.97","90.0","35.8"
"223","36.9","456","98.96","87.1","35.9"
"224","36.9","456","98.95","85.5","35.9"
"225","36.9","453","98.97","88.6","35.9"
"226","36.9","455","98.98","88.6","35.9"
"227","36.9","457","98.98","88.6","35.8"
"228","36.9","459","98.97","88.1","35.8"
"229","36.9","483","98.96","88.3","35.9"
"230","37.0","489","98.99","89.7","35.8"
"231","36.9","490","98.99","83.7","35.8"
"232","36.9","491","98.98","91.7","35.8"
"233","37.0","491","98.99","88.3","35.8"
"234","37.0","493","98.97","90.7","35.8"
"235","37.0","493","99.00","91.6","35.8"
"236","37.0","492","98.98","88.5","35.9"
"237","37.0","475","98.95","88.1","35.9"
"238","37.0","510","98.98","88.3","35.9"
"239","37.0","526","98.93","86.9","35.9"
"240","37.0","521","98.97","90.5","35.9"
"241","37.0","523","99.00","91.1","35.9"
"242","37.0","540","99.00","92.6","35.9"
"243","37.0","543","98.98","92.7","35.9"
"244","37.0","587","98.95","90.8","35.9"
"245","37.0","620","98.98","90.4","35.9"
"246","37.0","636","98.98","90.2","35.9"
"247","37.0","646","98.99","90.4","35.9"
"248","37.0","597","98.96","90.8","35.9"
"249","37.0","625","98.97","92.0","35.9"
"250","37.0","653","98.97","91.4","35.9"
"251","37.0","654","98.97","92.3","35.9"
"252","37.0","654","98.97","91.5","35.9"
"253","37.0","658","98.97","92.9","35.9"
"254","37.0","654","98.97","91.4","36.0"
"255","36.9","655","98.97","93.9","36.0"
"256","36.9","659","98.98","90.4","36.0"
"257","36.9","660","98.98","89.7","36.1"
"258","36.9","659","98.98","93.0","36.1"
"259","36.9","661","98.94","90.2","36.1"
"260","36.9","684","98.93","91.2","36.2"
"261","36.9","686","98.99","91.2","36.2"
"262","36.9","687","98.96","92.9","36.2"
"263","36.9","688","98.96","90.3","36.2"
"264","36.9","687","98.96","87.8","36.2"
"265","36.9","688","98.97","90.9","36.1"
"266","36.9","688","98.96","92.5","36.1"
"267","36.9","687","98.93","89.2","36.1"
"268","36.9","678","98.97","92.0","36.1"
"269","36.9","663","98.96","92.3","36.1"
"270","36.9","604","98.98","89.7","36.1"
"271","36.9","442","98.98","90.3","36.1"
"272","36.8","397","98.98","89.4","36.1"
"273","36.8","380","98.96","90.2","36.1"
"274","36.8","441","99.00","93.3","36.1"
"275","36.8","499","98.99","90.8","36.1"
"276","36.8","472","98.99","92.0","36.1"
"277","36.7","426","98.98","92.8","36.1"
"278","36.7","509","98.96","92.4","36.1"
"279","36.7","480","98.98","88.7","36.1"
"280","36.7","602","98.97","91.2","36.1"
"281","36.8","678","98.98","94.2","36.1"
"282","36.7","697","99.00","93.4","36.1"
"283","36.8","700","98.97","88.5","36.1"
"284","36.8","700","98.94","91.8","36.1"
"285","36.8","700","99.00","92.4","36.1"
"286","36.7","700","98.94","88.7","36.1"
"287","36.8","700","98.98","91.8","36.1"
"288","36.7","699","99.01","87.4","36.1"
"289","36.7","698","99.00","89.6","36.1"
